ID CT,FUNCTION,MATERIAL,DAY_RUN,RR,NAOCL,AVG_T_RETURN,CONDUCT LIMIT,AVG_FRC,AVG_CHLORIDE,TOTAL BACTERIA,BACTERIA_STATUS
Cooling Tower Ref A,PROCESS,Stainless steel,22,400,204.23,32.1,1200,0.16,160.37,100000,Not Acceptable
Cooling Tower Ref K,PROCESS,Stainless steel,22,350,803.51,33.9,700,0.26,115.07,1000,Acceptable
Cooling Tower Ref K,PROCESS,Stainless steel,31,350,209.79,33.9,700,0.23,111.13,10000,Acceptable
Cooling Tower Ref C,PROCESS,Stainless steel,8,450,467.31,39.3,1200,0.26,188.3,10000,Acceptable
Cooling Tower Ref H,PROCESS,Stainless steel,18,1500,446.54,39.5,1200,0.2,112.45,10000,Acceptable
Cooling Tower Ref C,PROCESS,Stainless steel,31,450,355.87,39.3,1200,0.57,180.01,10000,Acceptable
Cooling Tower Ref A,PROCESS,Stainless steel,14,400,207.69,32.1,1200,0.14,165.66,100000,Not Acceptable
Cooling Tower Ref K,PROCESS,Stainless steel,31,350,152.31,33.9,700,0.17,103.29,100000,Not Acceptable
Cooling Tower Fract D,FRACTIONATION,"Stainless steel, Cuprum, Galvanized",30,700,837.69,31.8,700,0.26,132.11,10000,Acceptable
Cooling Tower Refra E,FRACTIONATION,"Stainless steel, Cuprum, Galvanized",28,2496,671.654,32.6,1500,0.12,97.17,10000,Acceptable
Cooling Tower Fract D,FRACTIONATION,"Stainless steel, Cuprum, Galvanized",30,700,1076.54,31.8,700,0.26,127.24,1000,Acceptable
Cooling Tower Ref H,PROCESS,Stainless steel,30,1500,422.31,39.5,1200,0.23,149.07,1000,Acceptable
Cooling Tower Fract J,FRACTIONATION,"Stainless steel, Galvanized",30,2500,1093.85,31.8,1500,0.25,181.03,10000,Acceptable
Cooling Tower Fract I,FRACTIONATION,"Stainless steel, Galvanized",31,2000,713.81,36.7,1500,0.36,128.85,10000,Acceptable
Cooling Tower Fract J,FRACTIONATION,"Stainless steel, Galvanized",26,2500,948.46,31.8,1500,0.22,216.79,1000,Acceptable
